ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
COM_monu01;;Monument;49.15748, -0.336619;;;;1;;;2
1150748;;Clair Soleil;49.172626, -0.320423;;;;1;;;2
COM_impd01_1;;IMP;49.177692, -0.27212;;;;1;;;2
COM_ruma01;;Rue de Maltot;49.17521, -0.382543;;;;1;;;2
COM_corfre02;;La Fresnaye;49.15452, -0.327851;;;;1;;;2
ARCOM@C039;;Zénith;49.172443, -0.380402;;;;1;;;2
COM_jufe02;;Jules Ferry;49.18518, -0.288224;;;;1;;;2
COM_poin16;;Poincaré;49.165535, -0.342675;;;;1;;;2
COM_mlk02;;Martin Luther King;49.13492, -0.288048;;;;1;;;2
COM_pocr01_1;;Pont Créon;49.174683, -0.379032;;;;1;;;2
COM_psld01;;Périers Mairie;49.257477, -0.339325;;;;1;;;2
COM_libec11;;Libéra;49.188465, -0.298658;;;;1;;;2
COM_cale01_1;;Carrefour de Lebisey;49.21386, -0.340866;;;;1;;;2
COM_ruba02_1;;Barbeux;49.171597, -0.357973;;;;1;;;2
COM_hfou12;;Hauts Fourneaux;49.19181, -0.301696;;;;1;;;2
COM_creu01;;Creully;49.19089, -0.373502;;;;1;;;2
COM_qume02;;Quai Meslin;49.176254, -0.354282;;;;1;;;2
COM_norm22_1;;Normandial;49.193344, -0.30198;;;;1;;;2
COM_rtpa02;;Route de Paris;49.170006, -0.323846;;;;1;;;2
ARCOM@BIE008;;Outreval;49.23012, -0.331045;;;;1;;;2
ARCOM@BIE006;;Biéville Centre;49.237362, -0.327206;;;;1;;;2
COM_brie01;;Collège Guillemot;49.17206, -0.316381;;;;1;;;2
COM_cisu01;;Cités Suédoises;49.207623, -0.297464;;;;1;;;2
COM_pasa02;;Parc Saint-André (poteau provisoire);49.20516, -0.349815;;;;1;;;2
COM_citis11;;CITIS (poteau provisoire);49.211678, -0.356028;;;;1;;;2
COM_chse02;;Kiruna;49.20581, -0.299827;;;;1;;;2
COM_char02_1;;Molière;49.192493, -0.393647;;;;1;;;2
COM_etce12;;Eterville Centre;49.14387, -0.422667;;;;1;;;2
COM_zimo01;;Mondeville ZI;49.16501, -0.309529;;;;1;;;2
COM_plti02_1;;Place des Tilleuls;49.183567, -0.309996;;;;1;;;2
COM_rumo01;;Moulin;49.14626, -0.421273;;;;1;;;2
COM_juge02;;Jules Guesde;49.143963, -0.375995;;;;1;;;2
COM_chou01_1;;Chouquaie;49.144142, -0.351113;;;;1;;;2
COM_pl3602;;Place du 36ème;49.177826, -0.355831;;;;1;;;2
COM_ruau02_1;;Rue d'Auge;49.174805, -0.343372;;;;1;;;2
COM_jeja02;;Jean Jaurès;49.14914, -0.374723;;;;1;;;2
COM_mafl02;;Fleury Mairie;49.14736, -0.377421;;;;1;;;2
COM_anjo01;;Anjou;49.14155, -0.355313;;;;1;;;2
COM_avmo21;;Morice;49.206688, -0.35225;;;;1;;;2
COM_rher11;;Rue d'Hérouville;49.19383, -0.34579;;;;1;;;2
COM_form;;Formigny;49.17339, -0.338756;;;;1;;;2
1150268;;Château Quatrans;49.18504, -0.363386;;;;1;;;2
COM_lyma11;;Lycée Malherbe;49.176308, -0.371123;;;;1;;;2
COM_gall21;;Gallieni;49.18205, -0.402934;;;;1;;;2
COM_cbea01;;Beaulieu Brazza;49.183296, -0.406971;;;;1;;;2
COM_euma02;;Eugène Maës;49.17674, -0.38887;;;;1;;;2
ARCOM@VER030;;Avenue du Parc;49.15461, -0.47181;;;;1;;;2
COM_tour02;;Tourterelles;49.19477, -0.392493;;;;1;;;2
COM_jafa01;;Jardins Familiaux;49.211544, -0.320597;;;;1;;;2
COM_pfoc02;;Place Foch;49.177372, -0.359593;;;;1;;;2
COM_stor02;;Stade d'Ornano;49.18081, -0.39678;;;;1;;;2
COM_inle01;;Institut Lemonnier;49.193584, -0.349851;;;;1;;;2
COM_blpa;;Blainville Parc;49.23335, -0.289989;;;;1;;;2
COM_lava02;;Langevin Wallon;49.227592, -0.306688;;;;1;;;2
COM_sene01;;Senestre;49.200615, -0.46306;;;;1;;;2
COM_cave02_1;;Cavelier;49.198097, -0.351069;;;;1;;;2
COM_doau02;;Docteur Auvray;49.192993, -0.345849;;;;1;;;2
COM_teav22;;Terres d'Avenir;49.232304, -0.294531;;;;1;;;2
COM_quha_1;;Quai Hamelin;49.17706, -0.353966;;;;1;;;2
COM_stje01;;Saint Jean-Eudes;49.18888, -0.33673;;;;1;;;2
COM_zaco11;;Colombelles ZA;49.194847, -0.293398;;;;1;;;2
COM_stmi02_1;;Saint-Michel;49.175373, -0.354904;;;;1;;;2
COM_rogo01_1;;Rouge Gorge;49.194416, -0.396377;;;;1;;;2
COM_nico02;;Nicolas Copernic;49.16425, -0.325984;;;;1;;;2
COM_bear01;;Beauregard;49.213474, -0.317256;;;;1;;;2
COM_plki02;;Place Kieffer;49.23211, -0.2985;;;;1;;;2
COM_stpa01;;Collège Saint-Paul;49.184273, -0.399177;;;;1;;;2
COM_caef12;;Campus Efficience;49.188446, -0.308934;;;;1;;;2
COM_cimne02_1;;Cimetiere Nord-Est;49.190994, -0.340938;;;;1;;;2
COM_plsm02_1;;Place Saint-Martin;49.183826, -0.370099;;;;1;;;2
COM_cour02;;Courseulles;49.192257, -0.369918;;;;1;;;2
COM_cine02_1;;Clémenceau;49.19068, -0.339831;;;;1;;;2
COM_crots01;;Zone Commerciale;49.198055, -0.45729;;;;1;;;2
ARCOM@CAR003;;Carpiquet Mairie;49.18343, -0.4401;;;;1;;;2
COM_bout01_1;;Boutrois;49.168076, -0.351797;;;;1;;;2
COM_3dib01;;3ème DIB;49.21663, -0.340713;;;;1;;;2
COM_laro22;;La Rochelle;49.187546, -0.333949;;;;1;;;2
COM_mitt02;;Mitterrand;49.299683, -0.328946;;;;1;;;2
COM_pebri01;;Pégasus Bridge;49.242855, -0.278838;;;;1;;;2
COM_veor02;;Orme;49.185486, -0.347097;;;;1;;;2
COM_macu01_1;;Cuverville Mairie;49.192295, -0.263438;;;;1;;;2
COM_stde02;;Colleville Stade;49.27019, -0.29806;;;;1;;;2
COM_nled01;;Lynton Lynmouth;49.23591, -0.286743;;;;1;;;2
COM_sieu01;;Sieurcas;49.263184, -0.293497;;;;1;;;2
ARCOM@OUI023;;Riva Charmettes;49.28803, -0.272322;;;;1;;;2
COM_ruda02;;Damozanne;49.182426, -0.383802;;;;1;;;2
COM_tsuk11;;Tsukuba;49.214165, -0.353156;;;;1;;;2
COM_masg02_1;;Saint Germain Mairie;49.189056, -0.409426;;;;1;;;2
COM_eggi01_1;;Giberville Eglise;49.182907, -0.290035;;;;1;;;2
COM_rbas02;;Rue Basse;49.185425, -0.353081;;;;1;;;2
COM_arde11_1;;Ardenne;49.199707, -0.412528;;;;1;;;2
COM_edro01;;Edmond Rostand;49.17426, -0.332972;;;;1;;;2
COM_rdpu01;;Rue du Puits;49.201294, -0.405989;;;;1;;;2
COM_rech02;;Résidence aux Champs;49.205776, -0.428208;;;;1;;;2
COM_peva01;;Petit Vallon;49.18208, -0.266015;;;;1;;;2
COM_vibu02;;Rue de Villons;49.199684, -0.400189;;;;1;;;2
COM_cuss02;;Cussy;49.201645, -0.417244;;;;1;;;2
COM_caau02_2;;Calvaire;49.20438, -0.424271;;;;1;;;2
COM_bdle42_4;;Leroy Merlin;49.15677, -0.292253;;;;1;;;2
COM_cali02;;Carrefour de la Liberté;49.18352, -0.285006;;;;1;;;2
COM_lefr02;;Lefrançois;49.168755, -0.362041;;;;1;;;2
COM_lech01_1;;Lechesne;49.169838, -0.361007;;;;1;;;2
COM_cldr01_1;;Clos des Roses;49.18694, -0.392605;;;;1;;;2
COM_avva02;;Valeuse;49.20402, -0.335057;;;;1;;;2
COM_magy;;Marigny;49.208668, -0.435403;;;;1;;;2
COM_finl02;;Finlande;49.174488, -0.306156;;;;1;;;2
COM_crgu02;;Croix Guérin;49.190666, -0.357448;;;;1;;;2
COM_po01;;Poincaré;49.165462, -0.342777;;;;1;;;2
COM_plm02_1;;Place de la Mare;49.18692, -0.366134;;;;1;;;2
COM_co01;;Copernic;49.198444, -0.359387;;;;1;;;2
COM_av02;;Aviation;49.163322, -0.349137;;;;1;;;2
COM_cp01;;Collège Hawking;49.15794, -0.360918;;;;1;;;2
COM_ch01;;CHU;49.204395, -0.359505;;;;1;;;2
COM_2arr02;;2ème Arrêt;49.197857, -0.204472;;;;1;;;2
COM_hdvc01;;Hôtel de Ville Quai 1;49.18066, -0.369893;;;;1;;;2
StopAreaCAE3838;;Lirose;49.176468, -0.236565;;;;1;;;2
StopAreaCAE3862;;Ecole Maternelle;49.180733, -0.182778;;;;1;;;2
COM_bras02_1;;Brasserie;49.15877, -0.368234;;;;1;;;2
1150391;;Basse Allemagne;49.1399, -0.375978;;;;1;;;2
ARCOM@C042;;Lycée Laplace;49.19746, -0.360192;;;;1;;;2
COM_cdfo01;;Charles de Foucauld;49.161343, -0.362885;;;;1;;;2
COM_cind02_1;;Cindais;49.128044, -0.379292;;;;1;;;2
COM_rubr02_1;;Branville;49.167664, -0.363361;;;;1;;;2
COM_pova02;;Poppa de Valois;49.198666, -0.338943;;;;1;;;2
COM_rtau02;;Route d'Aunay;49.142483, -0.424031;;;;1;;;2
COM_leva01_1;;Le Val;49.205856, -0.33448;;;;1;;;2
COM_hecc12;;Hérouville C. Commercial;49.206776, -0.325465;;;;1;;;2
COM_bray01;;Bray;49.226643, -0.489436;;;;1;;;2
COM_veva02;;Vert Vallon;49.158546, -0.328004;;;;1;;;2
COM_coud01;;Coudriers;49.16216, -0.339651;;;;1;;;2
COM_camp3_02;;Campus 3;49.147957, -0.354804;;;;1;;;2
COM_zico02;;Cormelles ZI;49.15744, -0.324417;;;;1;;;2
COM_lgrte01;;La Grotte;49.184376, -0.450752;;;;1;;;2
COM_clne01;;ZA du Clos Neuf;49.173264, -0.265432;;;;1;;;2
COM_moeg02;;Mondeville Eglise;49.17534, -0.322137;;;;1;;;2
1150240;;Gare routière;49.17658, -0.34632;;;;1;;;2
1150295;;CPAM;49.209953, -0.369954;;;;1;;;2
